@relation 'testset 2att'

@attribute Tweet string
@attribute Tekst {SPAM,NEWS,SPORTS}

@data
'rt make big money click here gt #money #trafficnews #folloback #news #breakingnews #ptc h',SPAM
'rt king of autosurf get visits h #webmaster #seo #autosurf #search #news',SPAM
'#pakistan #news ppp pml n ruined pakistan with their ill framed policies musharraf',NEWS
'#pakistan #news over wheat sacks spoiled in kp stores',NEWS
'#finalcialtimes china s wild panda population rebounds fervour for hydropower dams and roa #news #finance #in',NEWS
'#spiderman #hollywood #entertainment #news gt gt andrew garfield chats his cell phone while out shopping gt gt gt gt gt rt',SPAM
'#celebritynews #clooney #celebrity #news amal alamuddin has a seven carat diamond and platinum engagement ring gt rt',SPAM
'rt to your succeess gt gt best #socialexchanges #socialmedia #follows #tweets #marketing #news htt',SPAM
'message of leader of the islamic republic of iran #letteru #letterall #quran #muhammad #islam #news',SPAM
'startup finding the right business partner #entrepreneur #startup #news',SPAM
'#news borussia dortmund continue resurgence with derby win borussia dortmund continue resurgence with derby',SPORTS
'the growing power of tumblr for #news via',SPAM
'#hot #mtvnews adrian grenier tells us about his lonely whale project and why #hot #news',SPAM
'blogs by jeeves and porter #blog #news',SPAM
'#israel iran s zarif netanyahu trying to prevent peace #news',SPAM
'suspect shot by boston officer after stabbing #boston #ma #news',NEWS
'brockton man arrested in east bridgewater delivering heroin #brockton #ma #news',NEWS
'jurors hear of missing text messages as aaron hernandez trial continues #taunton #ma #news',NEWS
'stoughton man pleads guilty to drug charge #brockton #ma #news',NEWS
'eerie video shows a relaxed aaron hernandez hours before odin lloyd s murder #boston #ma #news',NEWS
'#breaking #news #trending miller crashes out of',SPAM
'leonard nimoy famous as mr spock on star trek dies #taunton #ma #news',NEWS
'small tip dancing part of aaron hernandez s actions on night of murder #brockton #ma #news',NEWS
'rt billionaire jeff greene claims he was misquoted over americans need to have less #news',SPAM
'xtina at nba all star game amp people magazine #xtina #nba #people #christinaaguilera #starbucks #thevoice #nyc #news',SPAM
'morning jolt what color dress do you see #taunton #ma #news',SPAM
'rt flooding closes roads in martin and st lucie heavy rains have caused several road closure #rain',NEWS
'rt astronaut sends vulcan tribute to leonard nimoy from final frontier #news #p',SPAM
'log in #newsdict #news',SPAM
'rt boris nemtsov outspoken putin critic shot dead in moscow russian agency says #focus #news',NEWS
'alto saxophone grafton model #newsdict #news',SPAM
'food vancouver news #newsdict #news',SPAM
'sparkling wine drinking is growing in the us #newsdict #news',SPAM
'directx can combine nvidia and amd cards #games #news #pc',SPAM
'could a world title fight be heading to sri lanka earlier today boxing fans in osaka had the c #boxing #news',SPORTS
'stasera a milano al grey s room sfilate e hip hop contest #news #milano',SPAM
'flooding closes roads in martin and st lucie heavy rains have caused several road closure #rain #alert #news',NEWS
'heavy rains snow predicted in himachal in next hours shimla feb pti the met depa #rain #alert #news',NEWS
'see blog feeds from ybg at a glance #finanz #news',SPAM
'rt y o #israeli arab boy came home from kindergarten to discover #israel had demolished his home #news #',NEWS
'#realestate #news #updates the minute interview a conversation with stuart m saft',SPAM
'#english #news lanka says it will not allow docking of chinese submarines in a move apparently aimed at allay',NEWS
'#news #whatsapp #startups fitbit charge hr wireless heart rate activity wristband shi #activitytracker',SPAM
'#news #whatsapp #startups krispy kreme apologizes after kkk gaffe on facebook #apple #business',SPAM
'missouri governor candidate dead in alleged suicide missouri governor candidat #news #nieuws #us',NEWS
'#ucwradio everyone in russia blaming everyone else for opposition leader s death #entertainment #news',NEWS
'#ucwradio the gawker review weekend reading list #entertainment #news',SPAM
'sega to soon exit console gaming completely sega to cut jobs refocus on pc and mobile #news #videogames',NEWS
'#news #newsnight intrigue and fear flood russia after killing of boris nemtsov an old friend recounted hearin',NEWS
'#news #newsnight anthony mason bruising forward who personified mid s knicks dies at mason whose mus',SPORTS
'#news #newsnight out of trouble but criminal records keep men out of work men with even one past conviction',NEWS
'need exposure for your music video #music #news #glasgow #dundee #swansea #birmingham #uk',SPAM
'nintoaster stuffs a nintendo console into a retro toaster one of the world s most beautiful nes #news #videogames',SPAM
'#internet #news i support net neutrality but that is not what the fcc just did cnet #tdb #internetneutrality',NEWS
